"Date","Offense.Type"
"1/22/2017","Theft"
"1/23/2017","Theft"
"1/24/2017","Theft"
"1/24/2017","Theft"
"1/24/2017","Theft"
"1/26/2017","Theft"
"1/27/2017","Burglary"
"1/28/2017","Theft"
"1/29/2017","Theft"
"1/29/2017","Theft"
"1/30/2017","Theft"
"1/31/2017","Theft"
"1/1/2017","Theft"
"1/1/2017","Theft"
"1/3/2017","Theft"
"1/4/2017","Theft"
"1/5/2017","Burglary"
"1/7/2017","Theft"
"1/8/2017","Theft"
"1/8/2017","Auto Theft"
"1/8/2017","Theft"
"1/9/2017","Theft"
"1/9/2017","Theft"
"1/9/2017","Theft"
"1/10/2017","Robbery"
"1/11/2017","Burglary"
"1/11/2017","Theft"
"1/12/2017","Theft"
"1/12/2017","Theft"
"1/12/2017","Burglary"
"1/12/2017","Theft"
"1/13/2017","Auto Theft"
"1/13/2017","Robbery"
"1/13/2017","Theft"
"1/14/2017","Theft"
"1/14/2017","Robbery"
"1/15/2017","Burglary"
"1/16/2017","Robbery"
"1/16/2017","Theft"
"1/18/2017","Robbery"
"1/18/2017","Burglary"
"1/19/2017","Theft"
"1/19/2017","Burglary"
"1/20/2017","Burglary"
"1/21/2017","Theft"
"1/21/2017","Auto Theft"
"12/14/2016","Theft"
"12/15/2016","Auto Theft"
"12/18/2016","Theft"
"1/28/2017","Theft"
"1/24/2017","Theft"
"1/23/2017","Burglary"
"1/23/2017","Robbery"
"1/22/2017","Robbery"
"1/10/2017","Theft"
"1/10/2017","Theft"
"1/9/2016","Burglary"
"1/10/2017","Robbery"
"1/7/2017","Theft"
"1/6/2017","Theft"
"1/6/2017","Auto Theft"
"1/4/2017","Theft"
"1/1/2017","Auto Theft"
"1/2/2017","Burglary"
"1/2/2017","Auto Theft"
"1/21/2017","Theft"
"1/21/2017","Theft"
"1/19/2017","Theft"
"1/20/2017","Theft"
"1/16/2017","Auto Theft"
"1/16/2017","Robbery"
"1/14/2017","Burglary"
"1/12/2017","Theft"
"12/30/2016","Theft"
"1/22/2017","Auto Theft"
"1/22/2017","Burglary"
"1/21/2017","Theft"
"1/22/2017","Theft"
"1/22/2017","Theft"
"1/23/2017","Theft"
"1/23/2017","Theft"
"1/23/2017","Burglary"
"1/24/2017","Theft"
"1/24/2017","Theft"
"1/25/2017","Robbery"
"1/27/2017","Auto Theft"
"1/28/2017","Theft"
"1/27/2017","Theft"
"1/26/2017","Theft"
"1/26/2017","Theft"
"1/30/2017","Auto Theft"
"1/2/2017","Burglary"
"1/1/2017","Theft"
"1/4/2017","Robbery"
"1/3/2017","Theft"
"1/3/2017","Theft"
"1/5/2017","Theft"
"1/7/2016","Theft"
"1/7/2017","Theft"
"1/11/2017","Theft"
"1/9/2017","Theft"
"1/13/2017","Burglary"
"1/15/2017","Theft"
"1/14/2017","Theft"
"1/14/2017","Theft"
"1/15/2017","Theft"
"1/15/2017","Theft"
"1/15/2017","Theft"
"1/15/2017","Theft"
"1/15/2017","Theft"
"1/15/2017","Theft"
"1/15/2017","Theft"
"1/15/2017","Theft"
"1/15/2017","Theft"
"1/19/2017","Theft"
"1/18/2017","Theft"
"1/18/2017","Theft"
"1/21/2017","Auto Theft"
"1/21/2017","Theft"
"12/30/2016","Theft"
"12/31/2016","Theft"
"12/18/2016","Theft"
"12/17/2016","Theft"
"1/30/2017","Theft"
"1/30/2017","Theft"
"1/30/2017","Theft"
"1/30/2017","Theft"
"1/30/2017","Theft"
"1/30/2017","Robbery"
"1/29/2017","Theft"
"1/29/2017","Theft"
"1/29/2017","Theft"
"10/11/2016","Theft"
"10/16/2016","Burglary"
"1/26/2017","Theft"
"1/27/2017","Robbery"
"1/27/2017","Burglary"
"1/27/2017","Theft"
"1/27/2017","Theft"
"1/28/2017","Theft"
"1/29/2017","Auto Theft"
"1/25/2017","Theft"
"1/24/2017","Theft"
"1/23/2017","Theft"
"1/24/2017","Auto Theft"
"1/24/2017","Auto Theft"
"1/22/2017","Theft"
"1/23/2017","Theft"
"1/22/2017","Theft"
"1/22/2017","Robbery"
"1/22/2017","Theft"
"1/22/2017","Theft"
"1/21/2017","Theft"
"1/9/2017","Theft"
"1/9/2017","Theft"
"1/9/2017","Theft"
"1/9/2017","Theft"
"1/9/2017","Theft"
"1/10/2017","Theft"
"1/10/2017","Theft"
"1/10/2017","Burglary"
"1/10/2017","Burglary"
"1/11/2017","Theft"
"1/11/2017","Auto Theft"
"1/7/2017","Theft"
"1/7/2017","Theft"
"1/8/2017","Robbery"
"1/7/2017","Theft"
"1/7/2017","Theft"
"1/5/2017","Theft"
"1/5/2017","Burglary"
"1/5/2017","Theft"
"1/6/2017","Theft"
"1/6/2017","Auto Theft"
"1/6/2017","Theft"
"1/6/2017","Theft"
"1/3/2017","Theft"
"1/3/2017","Theft"
"1/3/2017","Burglary"
"1/4/2017","Burglary"
"1/4/2017","Theft"
"1/4/2017","Theft"
"1/4/2017","Theft"
"1/4/2017","Theft"
"1/1/2017","Auto Theft"
"1/1/2017","Theft"
"1/2/2017","Theft"
"1/2/2017","Theft"
"1/2/2017","Theft"
"1/21/2017","Theft"
"1/21/2017","Auto Theft"
"1/20/2017","Theft"
"1/21/2016","Theft"
"1/21/2017","Theft"
"1/20/2017","Theft"
"1/19/2017","Theft"
"1/19/2017","Theft"
"1/20/2017","Theft"
"1/19/2017","Theft"
"1/20/2017","Theft"
"1/18/2017","Theft"
"1/18/2017","Theft"
"1/17/2017","Theft"
"1/17/2017","Theft"
"1/19/2017","Theft"
"1/18/2017","Theft"
"1/18/2017","Theft"
"1/15/2017","Burglary"
"1/15/2017","Theft"
"1/15/2017","Robbery"
"1/15/2017","Auto Theft"
"1/16/2017","Theft"
"1/16/2017","Robbery"
"1/16/2017","Theft"
"1/14/2017","Theft"
"1/13/2017","Theft"
"1/13/2017","Theft"
"1/14/2017","Theft"
"1/13/2017","Theft"
"1/13/2017","Theft"
"1/12/2017","Auto Theft"
"1/12/2017","Theft"
"1/12/2017","Auto Theft"
"12/24/2016","Theft"
"12/30/2016","Theft"
"1/21/2017","Theft"
"1/22/2017","Burglary"
"1/23/2017","Theft"
"1/23/2017","Theft"
"1/23/2017","Auto Theft"
"1/25/2017","Theft"
"1/25/2017","Burglary"
"1/29/2017","Theft"
"1/29/2017","Theft"
"1/28/2017","Auto Theft"
"1/26/2017","Robbery"
"1/26/2017","Robbery"
"1/26/2017","Theft"
"1/26/2017","Robbery"
"1/31/2017","Robbery"
"11/1/2016","Theft"
"1/30/2017","Robbery"
"1/30/2017","Burglary"
"1/30/2017","Theft"
"1/30/2017","Robbery"
"1/2/2017","Robbery"
"1/1/2017","Theft"
"1/1/2017","Robbery"
"1/1/2017","Burglary"
"1/1/2017","Robbery"
"1/1/2017","Theft"
"1/3/2017","Auto Theft"
"1/3/2017","Burglary"
"1/3/2017","Burglary"
"1/3/2017","Theft"
"1/3/2017","Theft"
"1/6/2017","Burglary"
"1/6/2017","Burglary"
"1/5/2017","Auto Theft"
"1/7/2017","Burglary"
"1/7/2017","Theft"
"1/11/2017","Robbery"
"1/11/2017","Theft"
"1/9/2017","Robbery"
"1/8/2017","Auto Theft"
"1/9/2017","Theft"
"1/9/2017","Robbery"
"1/12/2017","Auto Theft"
"1/11/2017","Robbery"
"1/12/2017","Auto Theft"
"1/13/2017","Auto Theft"
"1/13/2017","Theft"
"1/16/2017","Theft"
"1/15/2017","Theft"
"1/15/2017","Robbery"
"1/16/2017","Theft"
"1/18/2017","Theft"
"1/17/2017","Robbery"
"1/17/2017","Robbery"
"1/20/2017","Theft"
"1/20/2017","Robbery"
"1/19/2017","Burglary"
"1/21/2017","Theft"
"1/21/2016","Theft"
"12/15/2016","Auto Theft"
"1/30/2017","Robbery"
"1/31/2017","Theft"
"1/31/2017","Theft"
"1/30/2017","Theft"
"1/30/2017","Theft"
"1/29/2017","Theft"
"1/25/2017","Robbery"
"1/26/2017","Theft"
"1/26/2017","Theft"
"1/26/2017","Burglary"
"1/26/2017","Theft"
"1/27/2017","Theft"
"1/27/2017","Theft"
"1/27/2017","Theft"
"1/28/2017","Theft"
"1/27/2017","Auto Theft"
"1/29/2017","Theft"
"1/29/2017","Robbery"
"1/29/2017","Theft"
"1/28/2017","Theft"
"1/25/2017","Theft"
"1/24/2017","Theft"
"1/24/2017","Theft"
"1/24/2017","Theft"
"1/23/2017","Burglary"
"1/23/2017","Theft"
"1/22/2017","Robbery"
"1/22/2017","Theft"
"1/22/2017","Theft"
"1/22/2017","Theft"
"1/22/2017","Auto Theft"
"1/9/2017","Theft"
"1/11/2017","Robbery"
"1/11/2017","Burglary"
"1/7/2017","Theft"
"1/7/2017","Theft"
"1/8/2017","Burglary"
"1/8/2017","Robbery"
"1/5/2017","Burglary"
"1/5/2017","Robbery"
"1/5/2017","Auto Theft"
"1/5/2017","Theft"
"1/5/2017","Burglary"
"1/6/2017","Auto Theft"
"1/4/2017","Burglary"
"1/4/2017","Theft"
"1/1/2017","Theft"
"1/2/2017","Auto Theft"
"1/2/2017","Auto Theft"
"1/20/2017","Theft"
"1/20/2017","Theft"
"1/20/2017","Theft"
"1/21/2017","Robbery"
"1/17/2017","Theft"
"1/18/2017","Theft"
"1/19/2017","Burglary"
"1/19/2017","Burglary"
"1/19/2017","Burglary"
"1/18/2017","Theft"
"1/15/2017","Theft"
"1/15/2017","Theft"
"1/15/2017","Theft"
"1/15/2017","Theft"
"1/14/2017","Theft"
"1/14/2017","Theft"
"1/14/2017","Burglary"
"1/14/2017","Theft"
"1/14/2017","Theft"
"1/14/2017","Theft"
"1/13/2017","Theft"
"1/13/2017","Theft"
"1/12/2017","Theft"
"1/11/2017","Robbery"
"12/1/2016","Theft"
"12/19/2016","Theft"
"12/20/2016","Theft"
"12/31/2016","Theft"
"1/22/2017","Burglary"
"1/21/2017","Theft"
"1/22/2017","Theft"
